,pred
2026-01-01,136.60915682976653
2026-01-02,126.20794416626539
2026-01-03,125.83217112065105
2026-01-04,128.7494390686061
2026-01-05,128.9475401390881
2026-01-06,124.89827961059653
2026-01-07,123.634221469533
2026-01-08,128.01177507423242
2026-01-09,128.32365734203375
2026-01-10,126.5165341224285
2026-01-11,124.30393344991026
2026-01-12,126.32879436270944
2026-01-13,125.76836829783636
2026-01-14,125.50857285563083
2026-01-15,124.74141524764926
2026-01-16,127.60043123111669
2026-01-17,126.84183826457162
2026-01-18,124.71036734563225
2026-01-19,124.01979339544476
2026-01-20,124.87237557562355
2026-01-21,125.70387872578726
2026-01-22,126.44615916070225
2026-01-23,130.03829854549994
2026-01-24,127.04591974300416
2026-01-25,123.18609411437616
2026-01-26,123.62904018382223
2026-01-27,125.007102896957
2026-01-28,126.01025905439371
2026-01-29,128.80314721376578
2026-01-30,127.96318445883962
