,Predicción
2026-01-01,285.8855930705877
2026-01-02,344.69420726725014
2026-01-03,265.9751006732067
2026-01-04,354.9769428423891
2026-01-05,396.98962430069895
2026-01-06,297.7345859637272
2026-01-07,287.7683732801331
2026-01-08,330.24004169901883
2026-01-09,330.24004169901883
2026-01-10,330.24004169901883
2026-01-11,397.44861126127506
2026-01-12,395.9500897013038
2026-01-13,395.9500897013038
2026-01-14,397.44861126127506
2026-01-15,397.44861126127506
2026-01-16,397.44861126127506
2026-01-17,395.9500897013038
2026-01-18,397.44861126127506
2026-01-19,328.7415201390475
2026-01-20,397.44861126127506
2026-01-21,397.44861126127506
2026-01-22,328.7415201390475
2026-01-23,395.9500897013038
2026-01-24,395.9500897013038
2026-01-25,328.7415201390475
2026-01-26,328.7415201390475
2026-01-27,328.7415201390475
2026-01-28,395.9500897013038
2026-01-29,395.9500897013038
2026-01-30,395.9500897013038
