fecha_reparto,cf_total,rechazo,dia_semana,mes,feriado
2023-01-03,7632.549999999,69.66667,1,1,0
2023-01-04,11561.92500003,65.81667,2,1,0
2023-01-05,11584.525000035,91.47499,3,1,0
2023-01-06,11219.091666664,124.11670000000001,4,1,0
2023-01-07,11295.283333351,121.075,5,1,0
2023-01-08,10764.300000008,92.3166632,6,1,0
2023-01-10,10188.883333356,114.83333,1,1,0
2023-01-11,15994.116666684,120.8167036,2,1,0
2023-01-12,16369.541666665,112.000007,3,1,0
2023-01-13,11517.533333334,93.76666,4,1,0
2023-01-14,16825.216666701,194.716666,5,1,0
2023-01-15,11543.358333306,149.66667,6,1,0
2023-01-17,10212.92499997,78.75,1,1,0
2023-01-19,11287.299999993,88.1416633,3,1,0
2023-01-20,9001.6833333,89.9833463,4,1,0
2023-01-21,15855.908333345,100.17501,5,1,0
2023-01-22,11110.291666643,108.050003,6,1,0
2023-01-24,8194.308333323,101.6166633,1,1,0
2023-01-25,9461.849999951,119.825,2,1,0
2023-01-26,12822.30833332,109.26666,3,1,0
2023-01-27,11742.291666634,84.69167,4,1,0
2023-01-28,14684.958333302,126.53333,5,1,0
2023-01-29,10774.241666633,114.874967,6,1,0
2023-01-31,10155.166666668,116.66667,1,1,0
2023-02-01,9754.96666665,135.1666633,2,2,0
2023-02-02,10910.599999986,118.8749967,3,2,0
2023-02-03,9287.616666652,110.9582967,4,2,0
2023-02-04,12246.20833328,210.749997,5,2,0
2023-02-05,13382.041666675,91.9166633,6,2,0
2023-02-07,11846.091666672,102.44167,1,2,0
2023-02-08,11226.416666614,173.1416736,2,2,0
2023-02-09,12661.341666559,72.68333,3,2,0
2023-02-10,10633.766666641,44.875,4,2,0
2023-02-11,17678.99999999,73.2333333,5,2,0
2023-02-12,11737.575000006,72.75,6,2,0
2023-02-14,9236.091666645,81.70833999999999,1,2,0
2023-02-15,11411.883333307,110.3916636,2,2,0
2023-02-16,14197.841666643,67.89999,3,2,0
2023-02-17,12068.491666611,98.199997,4,2,0
2023-02-18,17094.458333267,95.0083296,5,2,0
2023-02-19,12540.241666594,56.533337,6,2,0
2023-02-21,9650.808333288,97.92499,1,2,0
2023-02-22,12231.866666626,123.34166,2,2,0
2023-02-23,13761.391666616,163.81667,3,2,0
2023-02-24,15667.483333271,51.824996999999996,4,2,0
2023-02-25,21723.40833329,120.2750003,5,2,0
