,Fecha,Predicción
0,2026-01-01,11491.545
1,2026-01-02,11394.5205
2,2026-01-03,11403.2705
3,2026-01-04,11428.923
4,2026-01-05,11457.104
5,2026-01-06,11493.22
6,2026-01-07,11531.864
7,2026-01-08,11569.07
8,2026-01-09,11608.179
9,2026-01-10,11644.965
10,2026-01-11,11677.14
11,2026-01-12,11706.593
12,2026-01-13,11738.114
13,2026-01-14,11761.282
14,2026-01-15,11785.754
15,2026-01-16,11809.439
16,2026-01-17,11827.425
17,2026-01-18,11841.252
18,2026-01-19,11866.019
19,2026-01-20,11887.91
20,2026-01-21,11910.61
21,2026-01-22,11929.747
22,2026-01-23,11947.952
23,2026-01-24,11967.782
24,2026-01-25,11973.841
25,2026-01-26,11991.8125
26,2026-01-27,12009.89
27,2026-01-28,12027.64
28,2026-01-29,12044.982
29,2026-01-30,12061.908
