,Fecha,Predicción
0,2026-01-01,10769.579
1,2026-01-02,10650.445
2,2026-01-03,10667.586
3,2026-01-04,10686.113
4,2026-01-05,10681.873
5,2026-01-06,10677.495
6,2026-01-07,10668.998
7,2026-01-08,10652.303
8,2026-01-09,10640.156
9,2026-01-10,10625.852
10,2026-01-11,10604.635
11,2026-01-12,10580.889
12,2026-01-13,10567.508
13,2026-01-14,10538.731
14,2026-01-15,10516.274
15,2026-01-16,10495.738
16,2026-01-17,10463.819
17,2026-01-18,10421.006
18,2026-01-19,10404.774
19,2026-01-20,10384.908
20,2026-01-21,10370.098
21,2026-01-22,10349.88
22,2026-01-23,10329.533
23,2026-01-24,10315.459
24,2026-01-25,10268.611
25,2026-01-26,10249.581
26,2026-01-27,10231.536
27,2026-01-28,10213.488
28,2026-01-29,10195.472
29,2026-01-30,10177.623
