,pred
2026-01-01,10256.2412109375
2026-01-02,8820.943359375
2026-01-03,11553.3291015625
2026-01-04,11346.298828125
2026-01-05,8838.3310546875
2026-01-06,10244.7646484375
2026-01-07,10213.01953125
2026-01-08,9209.857421875
2026-01-09,10407.138671875
2026-01-10,11177.51953125
2026-01-11,7997.97021484375
2026-01-12,12427.7626953125
2026-01-13,9939.5908203125
2026-01-14,8154.36474609375
2026-01-15,11355.166015625
2026-01-16,11624.1357421875
2026-01-17,8383.291015625
2026-01-18,9535.7119140625
2026-01-19,9027.5224609375
2026-01-20,7683.04345703125
2026-01-21,11498.353515625
2026-01-22,10186.1103515625
2026-01-23,7772.39794921875
2026-01-24,10682.939453125
2026-01-25,9928.0
2026-01-26,8615.9677734375
2026-01-27,10270.8271484375
2026-01-28,11340.48046875
2026-01-29,8074.65966796875
2026-01-30,11884.115234375
