,pred
2026-01-01,10508.5302734375
2026-01-02,10287.0029296875
2026-01-03,9203.2880859375
2026-01-04,9858.4052734375
2026-01-05,9997.779296875
2026-01-06,10477.2314453125
2026-01-07,10473.205078125
2026-01-08,9837.3701171875
2026-01-09,10087.9873046875
2026-01-10,10076.2861328125
2026-01-11,9869.923828125
2026-01-12,10016.4443359375
2026-01-13,10223.73046875
2026-01-14,10338.806640625
2026-01-15,9203.2880859375
2026-01-16,9386.140625
2026-01-17,9946.3935546875
2026-01-18,10149.8251953125
2026-01-19,10343.7431640625
2026-01-20,10370.4013671875
2026-01-21,10075.4951171875
2026-01-22,9386.140625
2026-01-23,9317.015625
2026-01-24,9463.1513671875
2026-01-25,9976.87890625
2026-01-26,9813.966796875
2026-01-27,10086.6162109375
2026-01-28,9222.0458984375
2026-01-29,9235.5361328125
2026-01-30,9255.0849609375
