,pred
2026-01-01,11268.8001987366
2026-01-02,10509.377382264956
2026-01-03,9031.801243870648
2026-01-04,11325.601869547158
2026-01-05,11772.459498169133
2026-01-06,11956.456100628327
2026-01-07,12210.72820927862
2026-01-08,10866.87708396903
2026-01-09,10744.728172891297
2026-01-10,10707.481506908496
2026-01-11,11033.719418403734
2026-01-12,10248.38641715164
2026-01-13,10899.687213959689
2026-01-14,10858.8409369981
2026-01-15,10950.856093608241
2026-01-16,11118.390343067009
2026-01-17,10370.216480140316
2026-01-18,11878.778520816377
2026-01-19,13015.4471380279
2026-01-20,12689.542455632572
2026-01-21,11333.990160337513
2026-01-22,10331.38844049689
2026-01-23,10288.48650748609
2026-01-24,10392.814892034101
2026-01-25,12013.64098209593
2026-01-26,11191.705468777825
2026-01-27,11199.773640173124
2026-01-28,11065.932894861886
2026-01-29,10080.153005843846
2026-01-30,10210.711908813464
