,pred
2026-01-01,11972.402749449146
2026-01-02,9950.242039708839
2026-01-03,10463.181951692655
2026-01-04,11416.499859923431
2026-01-05,10211.036383951328
2026-01-06,10535.036737943428
2026-01-07,10710.560122175148
2026-01-08,9753.53246044687
2026-01-09,11174.9033580194
2026-01-10,11778.366084927608
2026-01-11,9655.973052467105
2026-01-12,11673.28001250448
2026-01-13,10752.461679991558
2026-01-14,10016.77506289742
2026-01-15,10826.059860686086
2026-01-16,11619.565176330392
2026-01-17,9657.896955932316
2026-01-18,10996.916411577411
2026-01-19,11780.22230882895
2026-01-20,10450.898615634589
2026-01-21,11633.278761274976
2026-01-22,11785.435206269509
2026-01-23,10960.722617446023
2026-01-24,12700.540618266397
2026-01-25,11007.168592777167
2026-01-26,11286.946340628621
2026-01-27,11955.217148201624
2026-01-28,11640.978778093713
2026-01-29,10942.94972511628
2026-01-30,12090.967068027154
