,pred
2026-01-01,10836.7021484375
2026-01-02,10382.9970703125
2026-01-03,8895.1337890625
2026-01-04,9748.0400390625
2026-01-05,10003.58984375
2026-01-06,10317.859375
2026-01-07,10732.5146484375
2026-01-08,9027.6318359375
2026-01-09,10023.287109375
2026-01-10,10361.7421875
2026-01-11,9763.7734375
2026-01-12,9971.2041015625
2026-01-13,10418.603515625
2026-01-14,9856.6708984375
2026-01-15,8979.634765625
2026-01-16,9725.50390625
2026-01-17,10164.84765625
2026-01-18,10139.6689453125
2026-01-19,10716.3662109375
2026-01-20,10041.435546875
2026-01-21,9982.3486328125
2026-01-22,9251.330078125
2026-01-23,9284.849609375
2026-01-24,9674.0439453125
2026-01-25,9985.4208984375
2026-01-26,10017.736328125
2026-01-27,9927.64453125
2026-01-28,9640.2822265625
2026-01-29,9251.330078125
2026-01-30,9415.669921875
