,pred
2026-01-01,9458.965154671903
2026-01-02,9676.488528938055
2026-01-03,12093.026471257988
2026-01-04,11753.50310998529
2026-01-05,11248.462753186035
2026-01-06,11756.934042028233
2026-01-07,10466.866598302175
2026-01-08,10263.344266727116
2026-01-09,10681.257883153707
2026-01-10,11198.372708582669
2026-01-11,10039.874332069805
2026-01-12,11066.833416644828
2026-01-13,9712.940287909583
2026-01-14,9520.58877821991
2026-01-15,11317.791956761748
2026-01-16,11462.363968463473
2026-01-17,10832.454877669697
2026-01-18,11679.55518070329
2026-01-19,9956.46264310145
2026-01-20,9346.593682925979
2026-01-21,11459.38986559132
2026-01-22,11114.523804738124
2026-01-23,11276.848896613195
2026-01-24,11892.497580295705
2026-01-25,10305.251624535349
2026-01-26,9236.284321618228
2026-01-27,10326.960162039963
2026-01-28,10732.41709281411
2026-01-29,10535.807211586209
2026-01-30,12175.443155557015
2026-01-31,9737.893669201814
