fecha_reparto,Real,Predicción
2024-01-02,6912.758333295,11351.94921875
2024-01-03,7231.408333293,13784.11328125
2024-01-04,9162.391666619,14608.9716796875
2024-01-05,10188.858333293,11982.40234375
2024-01-06,9377.499999959,11826.8818359375
2024-01-07,14835.09999993,13643.134765625
2024-01-09,14937.366666613,12035.578125
2024-01-10,8763.441666638,12186.6337890625
2024-01-11,10513.416666647,12245.1279296875
2024-01-12,8735.04999998,13830.443359375
2024-01-13,11261.291666637,11168.892578125
2024-01-14,11925.358333321,13530.3486328125
2024-01-16,9127.641666642001,11022.3017578125
2024-01-17,10450.149999978,13335.474609375
2024-01-18,10616.058333332,11303.8173828125
2024-01-19,10137.849999978,14401.7890625
2024-01-20,10870.249999964,11629.244140625
2024-01-21,10797.833333266999,13521.6796875
2024-01-23,8808.449999952,11485.8544921875
2024-01-24,10125.366666606,14055.6826171875
2024-01-25,11971.116666631,13579.2744140625
2024-01-26,8938.174999962,13272.544921875
2024-01-27,12337.608333267,11038.365234375
2024-01-28,13912.958333277,13745.943359375
2024-01-30,11124.366666572,12579.6494140625
2024-01-31,12277.183333276,13015.361328125
2024-02-01,9409.166666627,12572.8076171875
2024-02-02,8504.624999987,14367.916015625
2024-02-03,8566.808333295,10897.00390625
2024-02-04,11819.333333289,13536.5830078125
2024-02-06,10088.483333313,9653.2158203125
2024-02-07,10520.333333253,9773.9775390625
2024-02-08,13845.883333286,10885.435546875
2024-02-09,11998.624999907,9140.41796875
2024-02-10,15513.758333296,11433.7412109375
2024-02-11,14137.666666613,11237.3701171875
2024-02-13,8787.67499997,11083.7744140625
2024-02-14,13162.04999994,11211.1044921875
2024-02-15,12889.399999975,11720.8408203125
2024-02-16,10856.574999923,9410.2841796875
2024-02-17,11372.483333275,10810.0625
2024-02-18,13074.43333331,12958.3349609375
2024-02-20,9810.716666587,11193.0908203125
2024-02-21,12502.249999954,11870.533203125
2024-02-22,16331.399999939,10908.8759765625
2024-02-23,13274.441666618,9381.3974609375
2024-02-24,15841.65833326,11539.1533203125
2024-02-25,15713.441666571,12391.88671875
2024-02-27,12312.574999923,12002.3154296875
2024-02-28,14103.708333241,12200.3037109375
2024-03-01,10742.916666661,12428.453125
2024-03-02,10174.091666631,11506.728515625
2024-03-03,10202.199999987,11676.1650390625
2024-03-04,12381.816666651,12504.943359375
2024-03-06,9585.633333301,11894.5634765625
2024-03-07,16067.891666642,11779.3857421875
2024-03-08,18501.591666647,11691.8154296875
2024-03-09,13342.250000013999,10129.0068359375
2024-03-10,14272.474999976,11966.82421875
2024-03-11,15093.833333319,13535.0185546875
2024-03-13,10750.441666629,11044.6416015625
2024-03-14,14170.633333299,13894.603515625
2024-03-15,9940.791666646,14070.267578125
2024-03-16,12644.349999961,12786.6123046875
2024-03-17,20155.616666586,13316.9931640625
2024-03-18,16461.024999946,13644.5537109375
2024-03-20,21265.941666607,12364.9912109375
2024-03-21,13950.249999984,14442.9892578125
2024-03-22,13330.458333286,16385.328125
2024-03-23,10642.699999974,11177.3173828125
2024-03-24,12869.566666585,11832.8798828125
2024-03-25,13092.749999958,13235.7626953125
2024-03-27,9006.066666661,12144.2294921875
2024-03-28,17560.333333342,14285.9140625
2024-03-29,15532.84999997,13973.005859375
2024-03-30,12915.483333343,12799.810546875
2024-03-31,12785.874999974,12047.0458984375
2024-04-01,11648.29166665,13718.888671875
2024-04-03,9293.67499999,10490.6875
2024-04-04,13220.083333324,11659.38671875
2024-04-05,18407.591666617,13180.271484375
2024-04-06,12492.308333304,13215.9013671875
2024-04-08,18682.333333312,12975.791015625
2024-04-10,18505.408333307,14659.64453125
2024-04-11,17921.391666637,12626.1884765625
2024-04-12,19602.166666622,13562.828125
2024-04-13,13616.166666616,14425.4755859375
2024-04-14,13463.366666617,10618.4052734375
2024-04-15,16814.499999957,10884.8388671875
2024-04-17,9594.549999961,13002.90625
